problem_index,jixia_status,jixia_compiled,gpt_status,gpt_compiled
0,ok,True,ok,True
1,ok,True,ok,True
2,error,False,ok,True
3,ok,True,ok,True
4,error,False,ok,True
5,error,False,ok,True
6,ok,True,error,False
7,error,False,error,False
8,error,False,ok,True
9,ok,True,ok,True
10,error,False,error,False
11,ok,True,ok,True
12,error,False,ok,True
13,error,False,error,False
14,error,False,ok,True
15,ok,True,error,False
16,error,False,ok,True
17,error,False,ok,True
18,error,False,ok,True
19,error,False,ok,True
20,error,False,ok,True
21,error,False,error,False
22,error,False,ok,True
23,error,False,ok,True
24,error,False,ok,True
25,error,False,ok,True
26,error,False,ok,True
27,error,False,ok,True
28,error,False,ok,True
29,error,False,ok,True
30,error,False,ok,True
31,error,False,ok,True
32,ok,True,ok,True
33,error,False,error,False
34,ok,True,ok,True
35,error,False,ok,True
36,error,False,error,False
37,error,False,ok,True
38,error,False,ok,True
39,error,False,error,False
40,error,False,ok,True
41,error,False,ok,True
42,error,False,ok,True
43,error,False,ok,True
44,error,False,ok,True
45,error,False,error,False
46,error,False,ok,True
47,error,False,ok,True
48,error,False,ok,True
49,error,False,error,False
50,error,False,ok,True
51,error,False,ok,True
52,error,False,ok,True
53,error,False,ok,True
54,error,False,ok,True
55,error,False,ok,True
56,error,False,ok,True
57,error,False,ok,True
58,error,False,error,False
59,ok,True,error,False
60,error,False,error,False
61,error,False,ok,True
62,error,False,ok,True
63,error,False,ok,True
64,error,False,error,False
65,error,False,ok,True
66,ok,True,ok,True
67,ok,True,ok,True
68,ok,True,ok,True
69,error,False,ok,True
70,ok,True,ok,True
71,ok,True,ok,True
72,error,False,error,False
73,error,False,ok,True
74,error,False,ok,True
75,error,False,error,False
76,ok,True,ok,True
77,ok,True,ok,True
78,ok,True,ok,True
79,ok,True,ok,True
80,ok,True,ok,True
81,ok,True,ok,True
82,error,False,ok,True
83,error,False,ok,True
84,error,False,ok,True
85,error,False,ok,True
86,error,False,error,False
87,error,False,ok,True
88,ok,True,ok,True
89,error,False,ok,True
90,error,False,ok,True
91,ok,True,ok,True
92,error,False,ok,True
93,ok,True,error,False
94,error,False,ok,True
95,ok,True,error,False
96,error,False,ok,True
97,error,False,error,False
98,error,False,ok,True
99,error,False,ok,True
100,error,False,ok,True
101,ok,True,ok,True
102,error,False,ok,True
103,error,False,ok,True
104,error,False,ok,True
105,error,False,ok,True
106,error,False,ok,True
107,error,False,ok,True
108,error,False,error,False
109,ok,True,error,False
110,error,False,ok,True
111,error,False,ok,True
112,error,False,ok,True
113,ok,True,error,False
114,error,False,error,False
115,ok,True,ok,True
116,error,False,ok,True
117,ok,True,ok,True
118,ok,True,ok,True
119,ok,True,ok,True
120,ok,True,error,False
121,ok,True,ok,True
122,ok,True,error,False
123,ok,True,error,False
124,ok,True,error,False
125,ok,True,ok,True
126,ok,True,error,False
127,ok,True,ok,True
128,error,False,ok,True
129,ok,True,error,False
130,error,False,error,False
131,error,False,error,False
132,ok,True,ok,True
133,error,False,error,False
134,ok,True,error,False
135,error,False,error,False
136,error,False,error,False
137,ok,True,ok,True
138,ok,True,ok,True
139,error,False,error,False
140,error,False,error,False
141,ok,True,error,False
142,error,False,ok,True
143,ok,True,ok,True
144,error,False,error,False
145,error,False,ok,True
146,ok,True,ok,True
147,error,False,error,False
148,error,False,error,False
149,error,False,ok,True
Compared 150 problems.
jixia solved: 48
gpt solved: 107
Summary (problem indices):
  jixia_only: 15
  gpt_only: 74
  overlap: 33
